,group_1,group_2,group_3,sum_1,sum_2,sum_3,max_diff
1,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 9.31, 14.55, 18.09]","[8.66, 14.74, 10.81, 15.94, 16.72, 6.45]",73.29,73.05000000000001,73.32000000000001,0.23999999999999488
2,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 9.31, 14.74, 18.09]","[8.66, 14.55, 10.81, 15.94, 16.72, 6.45]",73.29,73.24000000000001,73.13000000000001,0.1599999999999966
3,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 9.31, 15.94, 16.72]","[8.66, 14.55, 14.74, 10.81, 18.09, 6.45]",73.29,73.07,73.30000000000001,0.22000000000001307
4,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 8.66, 14.74, 18.09]","[9.31, 14.55, 10.81, 15.94, 16.72, 6.45]",73.29,72.59,73.78,0.7000000000000028
5,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 8.66, 15.94, 18.09]","[9.31, 14.55, 14.74, 10.81, 16.72, 6.45]",73.29,73.79,72.58,1.210000000000008
6,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 14.55, 10.81, 16.72]","[9.31, 8.66, 14.74, 15.94, 18.09, 6.45]",73.29,73.18,73.19,0.10999999999999943
7,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 14.74, 10.81, 15.94]","[9.31, 8.66, 14.55, 16.72, 18.09, 6.45]",73.29,72.59,73.78,0.7000000000000028
8,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 12.18, 14.74, 10.81, 16.72]","[9.31, 8.66, 14.55, 15.94, 18.09, 6.45]",73.29,73.37,73.0,0.37000000000000455
9,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 9.31, 14.55, 14.74, 15.94]","[12.18, 8.66, 10.81, 16.72, 18.09, 6.45]",73.29,73.46000000000001,72.91,0.5500000000000114
10,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 9.31, 10.81, 15.94, 18.09]","[12.18, 8.66, 14.55, 14.74, 16.72, 6.45]",73.29,73.07000000000001,73.3,0.21999999999999886
11,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 9.31, 10.81, 16.72, 18.09]","[12.18, 8.66, 14.55, 14.74, 15.94, 6.45]",73.29,73.85000000000001,72.52000000000001,1.3299999999999983
12,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 8.66, 14.55, 14.74, 15.94]","[12.18, 9.31, 10.81, 16.72, 18.09, 6.45]",73.29,72.81,73.56,0.480000000000004
13,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 8.66, 14.55, 14.74, 16.72]","[12.18, 9.31, 10.81, 15.94, 18.09, 6.45]",73.29,73.59,72.78,0.8100000000000023
14,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 8.66, 10.81, 16.72, 18.09]","[12.18, 9.31, 14.55, 14.74, 15.94, 6.45]",73.29,73.2,73.17000000000002,0.11999999999999034
15,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 14.55, 14.74, 18.09, 6.45]","[12.18, 9.31, 8.66, 10.81, 15.94, 16.72]",73.29,72.75,73.62,0.5400000000000063
16,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 14.55, 15.94, 16.72, 6.45]","[12.18, 9.31, 8.66, 14.74, 10.81, 18.09]",73.29,72.58,73.79,0.710000000000008
17,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.89, 14.74, 15.94, 16.72, 6.45]","[12.18, 9.31, 8.66, 14.55, 10.81, 18.09]",73.29,72.77,73.60000000000001,0.5200000000000102
18,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 8.66, 14.55, 18.09]","[8.89, 14.74, 10.81, 15.94, 16.72, 6.45]",73.29,72.82000000000001,73.55,0.46999999999999886
19,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 8.66, 14.74, 18.09]","[8.89, 14.55, 10.81, 15.94, 16.72, 6.45]",73.29,73.01,73.36,0.28000000000000114
20,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 8.66, 15.94, 16.72]","[8.89, 14.55, 14.74, 10.81, 18.09, 6.45]",73.29,72.84,73.53,0.45000000000000284
21,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 14.55, 10.81, 15.94]","[8.89, 8.66, 14.74, 16.72, 18.09, 6.45]",73.29,72.82000000000001,73.55,0.46999999999999886
22,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 14.55, 10.81, 16.72]","[8.89, 8.66, 14.74, 15.94, 18.09, 6.45]",73.29,73.60000000000001,72.77,0.8300000000000125
23,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 14.74, 10.81, 15.94]","[8.89, 8.66, 14.55, 16.72, 18.09, 6.45]",73.29,73.01,73.36,0.28000000000000114
24,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 14.74, 10.81, 16.72]","[8.89, 8.66, 14.55, 15.94, 18.09, 6.45]",73.29,73.79,72.58,1.210000000000008
25,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 9.31, 16.72, 18.09, 6.45]","[8.89, 8.66, 14.55, 14.74, 10.81, 15.94]",73.29,72.78,73.59,0.5100000000000051
26,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 8.66, 14.55, 10.81, 16.72]","[8.89, 9.31, 14.74, 15.94, 18.09, 6.45]",73.29,72.95,73.42,0.3400000000000034
27,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 8.66, 14.74, 10.81, 16.72]","[8.89, 9.31, 14.55, 15.94, 18.09, 6.45]",73.29,73.14,73.23,0.15000000000000568
28,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 14.55, 14.74, 15.94, 6.45]","[8.89, 9.31, 8.66, 10.81, 16.72, 18.09]",73.29,73.89000000000001,72.48,1.4100000000000108
29,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 12.18, 10.81, 15.94, 18.09, 6.45]","[8.89, 9.31, 8.66, 14.55, 14.74, 16.72]",73.29,73.5,72.87,0.6299999999999955
30,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 9.31, 8.66, 14.55, 14.74, 15.94]","[8.89, 12.18, 10.81, 16.72, 18.09, 6.45]",73.29,73.23,73.14,0.15000000000000568
31,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 9.31, 8.66, 10.81, 15.94, 18.09]","[8.89, 12.18, 14.55, 14.74, 16.72, 6.45]",73.29,72.84,73.53000000000002,0.45000000000000284
32,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 9.31, 8.66, 10.81, 16.72, 18.09]","[8.89, 12.18, 14.55, 14.74, 15.94, 6.45]",73.29,73.62,72.75000000000001,0.8699999999999903
33,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 9.31, 14.55, 14.74, 18.09, 6.45]","[8.89, 12.18, 8.66, 10.81, 15.94, 16.72]",73.29,73.17,73.19999999999999,0.12000000000000455
34,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 9.31, 14.55, 15.94, 16.72, 6.45]","[8.89, 12.18, 8.66, 14.74, 10.81, 18.09]",73.29,73.0,73.37,0.29000000000000625
35,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 9.31, 14.74, 15.94, 16.72, 6.45]","[8.89, 12.18, 8.66, 14.55, 10.81, 18.09]",73.29,73.19,73.18,0.10999999999999943
36,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.66, 14.55, 14.74, 18.09, 6.45]","[8.89, 12.18, 9.31, 10.81, 15.94, 16.72]",73.29,72.52,73.85,0.7700000000000102
37,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.66, 14.55, 15.94, 18.09, 6.45]","[8.89, 12.18, 9.31, 14.74, 10.81, 16.72]",73.29,73.72,72.65,1.0699999999999932
38,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.66, 14.74, 15.94, 16.72, 6.45]","[8.89, 12.18, 9.31, 14.55, 10.81, 18.09]",73.29,72.54,73.83000000000001,0.75
39,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 8.66, 14.74, 15.94, 18.09, 6.45]","[8.89, 12.18, 9.31, 14.55, 10.81, 16.72]",73.29,73.91,72.46000000000001,1.4499999999999886
40,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 14.55, 14.74, 10.81, 15.94, 6.45]","[8.89, 12.18, 9.31, 8.66, 16.72, 18.09]",73.29,72.52000000000001,73.85000000000001,0.769999999999996
41,"[12.99, 20.9, 13.21, 12.77, 13.42, 0.0]","[10.03, 14.55, 14.74, 10.81, 16.72, 6.45]","[8.89, 12.18, 9.31, 8.66, 15.94, 18.09]",73.29,73.3,73.07000000000001,0.22999999999998977
42,"[12.99, 20.9, 13.21, 10.03, 8.89, 6.45]","[12.77, 13.42, 12.18, 9.31, 14.74, 10.81]","[8.66, 14.55, 0.0, 15.94, 16.72, 18.09]",72.47000000000001,73.23,73.96,0.7299999999999898
43,"[12.99, 20.9, 13.21, 10.03, 8.89, 6.45]","[12.77, 13.42, 12.18, 8.66, 10.81, 15.94]","[9.31, 14.55, 0.0, 14.74, 16.72, 18.09]",72.47000000000001,73.78,73.41,0.37000000000000455
44,"[12.99, 20.9, 13.21, 10.03, 8.89, 6.45]","[12.77, 13.42, 9.31, 8.66, 14.55, 14.74]","[12.18, 0.0, 10.81, 15.94, 16.72, 18.09]",72.47000000000001,73.44999999999999,73.74,0.29000000000000625
